,title,rating,price,link
20,"APPLE iPhone 11 (Black, 128 GB)","4.678,690 Ratings & 5,936 Reviews","₹54,900",https://www.flipkart.com/apple-iphone-11-black-128-gb/p/itm8244e8d955aba?pid=MOBFWQ6BKRYBP5X8&lid=LSTMOBFWQ6BKRYBP5X8X0KYUG&marketplace=FLIPKART&q=apple+phones&store=tyy%2F4io&srno=s_1_21&otracker=search&otracker1=search&fm=Search&iid=1677837a-a374-430f-ba93-818422920859.MOBFWQ6BKRYBP5X8.SEARCH&ppt=sp&ppn=sp&ssid=xmxtt23mrk0000001649677034693&qH=28642eda9a15b90f
21,"APPLE iPhone 13 ((PRODUCT)RED, 256 GB)","4.63,884 Ratings & 409 Reviews","₹83,990",https://www.flipkart.com/apple-iphone-13-product-red-256-gb/p/itme239bd6bf6934?pid=MOBG6VF5DYJ3GBZH&lid=LSTMOBG6VF5DYJ3GBZHBW8PW5&marketplace=FLIPKART&q=apple+phones&store=tyy%2F4io&srno=s_1_22&otracker=search&otracker1=search&fm=Search&iid=1677837a-a374-430f-ba93-818422920859.MOBG6VF5DYJ3GBZH.SEARCH&ppt=sp&ppn=sp&ssid=xmxtt23mrk0000001649677034693&qH=28642eda9a15b90f
22,"APPLE iPhone SE (3rd Gen) (Product (Red), 64 GB)",4.5148 Ratings & 25 Reviews,"₹43,900",https://www.flipkart.com/apple-iphone-se-3rd-gen-product-red-64-gb/p/itm8434116c6eab4?pid=MOBGC9K3B2JQCTYV&lid=LSTMOBGC9K3B2JQCTYV4IXQTX&marketplace=FLIPKART&q=apple+phones&store=tyy%2F4io&srno=s_1_23&otracker=search&otracker1=search&fm=Search&iid=1677837a-a374-430f-ba93-818422920859.MOBGC9K3B2JQCTYV.SEARCH&ppt=sp&ppn=sp&ssid=xmxtt23mrk0000001649677034693&qH=28642eda9a15b90f
23,"APPLE iPhone 12 (White, 64 GB)","4.61,68,390 Ratings & 11,581 Reviews","₹59,999",https://www.flipkart.com/apple-iphone-12-white-64-gb/p/itm8b88bdc03cd79?pid=MOBFWBYZTK33MBG9&lid=LSTMOBFWBYZTK33MBG9GGJXXH&marketplace=FLIPKART&q=apple+phones&store=tyy%2F4io&srno=s_1_24&otracker=search&otracker1=search&fm=Search&iid=1677837a-a374-430f-ba93-818422920859.MOBFWBYZTK33MBG9.SEARCH&ppt=sp&ppn=sp&ssid=xmxtt23mrk0000001649677034693&qH=28642eda9a15b90f
24,"APPLE iPhone 12 (White, 128 GB)","4.61,68,390 Ratings & 11,581 Reviews","₹64,999",https://www.flipkart.com/apple-iphone-12-white-128-gb/p/itm95393f4c6cc59?pid=MOBFWBYZBTZFGJF9&lid=LSTMOBFWBYZBTZFGJF9RAHZAK&marketplace=FLIPKART&q=apple+phones&store=tyy%2F4io&srno=s_2_25&otracker=search&otracker1=search&fm=Search&iid=fceebd4e-b3fd-4f6b-87f2-2c9120c63cae.MOBFWBYZBTZFGJF9.SEARCH&ppt=sp&ppn=sp&ssid=xmxtt23mrk0000001649677034693&qH=28642eda9a15b90f
25,"APPLE iPhone 11 (Green, 128 GB)","4.678,690 Ratings & 5,936 Reviews","₹54,699",https://www.flipkart.com/apple-iphone-11-green-128-gb/p/itm97529bbf640ca?pid=MOBFWQ6BHBKMH4BF&lid=LSTMOBFWQ6BHBKMH4BFDWQ2LJ&marketplace=FLIPKART&q=apple+phones&store=tyy%2F4io&srno=s_2_26&otracker=search&otracker1=search&fm=Search&iid=fceebd4e-b3fd-4f6b-87f2-2c9120c63cae.MOBFWQ6BHBKMH4BF.SEARCH&ppt=sp&ppn=sp&ssid=xmxtt23mrk0000001649677034693&qH=28642eda9a15b90f
26,"APPLE iPhone 11 (Red, 128 GB)","4.678,690 Ratings & 5,936 Reviews","₹52,900",https://www.flipkart.com/apple-iphone-11-red-128-gb/p/itm8d14bd0e33a1c?pid=MOBFWQ6BEZTNK59G&lid=LSTMOBFWQ6BEZTNK59G24ZQ2Y&marketplace=FLIPKART&q=apple+phones&store=tyy%2F4io&srno=s_2_27&otracker=search&otracker1=search&fm=Search&iid=fceebd4e-b3fd-4f6b-87f2-2c9120c63cae.MOBFWQ6BEZTNK59G.SEARCH&ppt=sp&ppn=sp&ssid=xmxtt23mrk0000001649677034693&qH=28642eda9a15b90f
27,"APPLE iPhone 13 Mini (Midnight, 128 GB)",4.6666 Ratings & 59 Reviews,"₹64,900",https://www.flipkart.com/apple-iphone-13-mini-midnight-128-gb/p/itm6fb7dc262ba8c?pid=MOBG6VF5CPAWTCBH&lid=LSTMOBG6VF5CPAWTCBHSPDPW0&marketplace=FLIPKART&q=apple+phones&store=tyy%2F4io&srno=s_2_28&otracker=search&otracker1=search&fm=Search&iid=fceebd4e-b3fd-4f6b-87f2-2c9120c63cae.MOBG6VF5CPAWTCBH.SEARCH&ppt=sp&ppn=sp&ssid=xmxtt23mrk0000001649677034693&qH=28642eda9a15b90f
28,"APPLE iPhone 12 Mini (Blue, 256 GB)","4.596,794 Ratings & 7,898 Reviews","₹69,900",https://www.flipkart.com/apple-iphone-12-mini-blue-256-gb/p/itmc642fc932a70c?pid=MOBFWBYZEWKFTSHF&lid=LSTMOBFWBYZEWKFTSHF95VDYY&marketplace=FLIPKART&q=apple+phones&store=tyy%2F4io&srno=s_2_29&otracker=search&otracker1=search&fm=Search&iid=fceebd4e-b3fd-4f6b-87f2-2c9120c63cae.MOBFWBYZEWKFTSHF.SEARCH&ppt=sp&ppn=sp&ssid=xmxtt23mrk0000001649677034693&qH=28642eda9a15b90f
29,"APPLE iPhone 13 Pro (Graphite, 256 GB)",4.7605 Ratings & 57 Reviews,"₹1,29,900",https://www.flipkart.com/apple-iphone-13-pro-graphite-256-gb/p/itm1b16c87a4a64a?pid=MOBG6VF5WKMAADTZ&lid=LSTMOBG6VF5WKMAADTZ01VPON&marketplace=FLIPKART&q=apple+phones&store=tyy%2F4io&srno=s_2_30&otracker=search&otracker1=search&fm=Search&iid=fceebd4e-b3fd-4f6b-87f2-2c9120c63cae.MOBG6VF5WKMAADTZ.SEARCH&ppt=sp&ppn=sp&ssid=xmxtt23mrk0000001649677034693&qH=28642eda9a15b90f
30,"APPLE iPhone 13 (Midnight, 256 GB)","4.63,884 Ratings & 409 Reviews","₹84,900",https://www.flipkart.com/apple-iphone-13-midnight-256-gb/p/itmfa27e6497b641?pid=MOBG6VF5AJGQ6HHE&lid=LSTMOBG6VF5AJGQ6HHEIDDQMK&marketplace=FLIPKART&q=apple+phones&store=tyy%2F4io&srno=s_2_31&otracker=search&otracker1=search&fm=Search&iid=fceebd4e-b3fd-4f6b-87f2-2c9120c63cae.MOBG6VF5AJGQ6HHE.SEARCH&ppt=sp&ppn=sp&ssid=xmxtt23mrk0000001649677034693&qH=28642eda9a15b90f
31,"APPLE iPhone 13 mini (Green, 256 GB)",4.6666 Ratings & 59 Reviews,"₹74,900",https://www.flipkart.com/apple-iphone-13-mini-green-256-gb/p/itm3e9566d87023e?pid=MOBGC9VGY3UYTKYB&lid=LSTMOBGC9VGY3UYTKYBMZJC9D&marketplace=FLIPKART&q=apple+phones&store=tyy%2F4io&srno=s_2_32&otracker=search&otracker1=search&fm=Search&iid=fceebd4e-b3fd-4f6b-87f2-2c9120c63cae.MOBGC9VGY3UYTKYB.SEARCH&ppt=sp&ppn=sp&ssid=xmxtt23mrk0000001649677034693&qH=28642eda9a15b90f
32,"APPLE iPhone 13 (Green, 256 GB)","4.63,884 Ratings & 409 Reviews","₹84,900",https://www.flipkart.com/apple-iphone-13-green-256-gb/p/itm14914e5e84473?pid=MOBGC9VGPXQNTXDW&lid=LSTMOBGC9VGPXQNTXDWE7BRMN&marketplace=FLIPKART&q=apple+phones&store=tyy%2F4io&srno=s_2_33&otracker=search&otracker1=search&fm=Search&iid=fceebd4e-b3fd-4f6b-87f2-2c9120c63cae.MOBGC9VGPXQNTXDW.SEARCH&ppt=sp&ppn=sp&ssid=xmxtt23mrk0000001649677034693&qH=28642eda9a15b90f
33,"APPLE iPhone 12 (Black, 64 GB)","4.61,68,390 Ratings & 11,581 Reviews","₹59,999",https://www.flipkart.com/apple-iphone-12-black-64-gb/p/itma2559422bf7c7?pid=MOBFWBYZU5FWK2VP&lid=LSTMOBFWBYZU5FWK2VPZMTUKX&marketplace=FLIPKART&q=apple+phones&store=tyy%2F4io&srno=s_2_34&otracker=search&otracker1=search&fm=Search&iid=fceebd4e-b3fd-4f6b-87f2-2c9120c63cae.MOBFWBYZU5FWK2VP.SEARCH&ppt=sp&ppn=sp&ssid=xmxtt23mrk0000001649677034693&qH=28642eda9a15b90f
34,"APPLE iPhone 12 (Green, 64 GB)","4.61,68,390 Ratings & 11,581 Reviews","₹59,999",https://www.flipkart.com/apple-iphone-12-green-64-gb/p/itmc8a19a9686173?pid=MOBFWBYZKK3EJPFW&lid=LSTMOBFWBYZKK3EJPFWHTKEDW&marketplace=FLIPKART&q=apple+phones&store=tyy%2F4io&srno=s_2_35&otracker=search&otracker1=search&fm=Search&iid=fceebd4e-b3fd-4f6b-87f2-2c9120c63cae.MOBFWBYZKK3EJPFW.SEARCH&ppt=sp&ppn=sp&ssid=xmxtt23mrk0000001649677034693&qH=28642eda9a15b90f
35,"APPLE iPhone SE (Red, 256 GB)","4.51,48,912 Ratings & 11,735 Reviews","₹45,099",https://www.flipkart.com/apple-iphone-se-red-256-gb/p/itm3c692856af9ba?pid=MOBFWQ6BTCWTXACG&lid=LSTMOBFWQ6BTCWTXACGSFLMMO&marketplace=FLIPKART&q=apple+phones&store=tyy%2F4io&srno=s_2_36&otracker=search&otracker1=search&fm=Search&iid=fceebd4e-b3fd-4f6b-87f2-2c9120c63cae.MOBFWQ6BTCWTXACG.SEARCH&ppt=sp&ppn=sp&ssid=xmxtt23mrk0000001649677034693&qH=28642eda9a15b90f
36,"APPLE iPhone 12 Pro (Gold, 512 GB)","4.61,074 Ratings & 72 Reviews","₹1,39,900",https://www.flipkart.com/apple-iphone-12-pro-gold-512-gb/p/itm157b3be191fd1?pid=MOBFWBYZGKFYVTWH&lid=LSTMOBFWBYZGKFYVTWH2QAHKV&marketplace=FLIPKART&q=apple+phones&store=tyy%2F4io&srno=s_2_37&otracker=search&otracker1=search&fm=Search&iid=fceebd4e-b3fd-4f6b-87f2-2c9120c63cae.MOBFWBYZGKFYVTWH.SEARCH&ppt=sp&ppn=sp&ssid=xmxtt23mrk0000001649677034693&qH=28642eda9a15b90f
